method	reasoning	model	mean_kill_rate	std_kill_rate	median_kill_rate	total_mutants	total_killed	total_survived	total_equivalent	n_samples_valid	kill_arithmetic	kill_boundary	kill_comparison	kill_negate_bool	kill_return_none
Iterative Critique	base	llama3.2:latest	1.000000	0.000000	1.000000	11	11	0	0	4		1.000000	1.000000	1.000000	1.000000
Plain LLM	base	llama3.2:latest	0.721926	0.372199	1.000000	160	87	58	14	29	0.421100	0.396200	0.631600	0.666700	0.789500
Random RAG	base	llama3.2:latest	0.652683	0.380034	0.763889	135	79	41	14	22	0.500000	0.541700	0.562500	0.777800	0.700000
Simple RAG	base	llama3.2:latest	0.674044	0.408983	0.873016	130	86	29	14	20	0.689700	0.613600	0.611100	0.818200	0.678600
Iterative Critique	base	phi4:14b	0.934211	0.233365	1.000000	99	93	2	4	19	0.956500	0.963000	1.000000	0.916700	0.888900
Plain LLM	base	phi4:14b	0.859632	0.330164	1.000000	163	114	34	14	30	0.552600	0.574100	0.800000	0.916700	0.897400
Random RAG	base	phi4:14b	0.872463	0.294879	1.000000	163	120	31	11	30	0.631600	0.629600	0.800000	0.833300	0.923100
Simple RAG	base	phi4:14b	0.896603	0.275042	1.000000	150	107	28	14	26	0.540500	0.660000	0.777800	0.833300	0.909100
Iterative Critique	base	qwen3-coder:30b	0.951618	0.155041	1.000000	156	131	15	9	29	0.722200	0.764700	0.850000	1.000000	1.000000
Plain LLM	base	qwen3-coder:30b	0.907776	0.250266	1.000000	163	128	20	14	30	0.710500	0.685200	0.800000	0.916700	0.948700
Random RAG	base	qwen3-coder:30b	0.930925	0.211561	1.000000	163	126	22	14	30	0.657900	0.666700	0.800000	0.916700	0.974400
Simple RAG	base	qwen3-coder:30b	0.918888	0.213234	1.000000	163	128	25	9	30	0.631600	0.685200	0.800000	1.000000	1.000000
Iterative Critique	base	qwen3.5:9b	0.942857	0.224206	1.000000	88	82	1	3	20	0.923100	0.840000	1.000000	1.000000	0.964300
Plain LLM	base	qwen3.5:9b	0.904951	0.253249	1.000000	163	131	20	11	30	0.684200	0.703700	0.850000	1.000000	0.974400
Random RAG	base	qwen3.5:9b	0.975168	0.076059	1.000000	163	142	6	14	30	0.868400	0.796300	0.850000	0.916700	0.974400
Simple RAG	base	qwen3.5:9b	0.993939	0.033195	1.000000	163	151	1	10	30	0.894700	0.907400	0.850000	1.000000	1.000000
