method	model	status	val_score	avg_syntax	avg_edge	avg_assert_density	avg_semantic_sim	avg_rouge	avg_noise_rate	avg_faithfulness	avg_llm_judge_faithfulness	avg_retrieval_secs	avg_llm_secs	avg_tokens	samples_evaluated	val_score_humaneval	val_score_mbpp	samples_humaneval	samples_mbpp	val_score_classeval	samples_classeval	avg_exec_pass_rate	avg_exec_total_tests	dataset_version
plain_llm/base	llama3.2:latest	ok	0.656636	1.0000	1.0000	0.1444	0.3721	0.2194	nan	nan	nan	0.000	27.947	548.3	3	0.6566	nan	3	0	nan	0	0.6111	5.3	v3
plain_llm/base	llama3.2:latest	ok	0.652539	1.0000	1.0000	0.1333	0.3605	0.2180	nan	nan	nan	0.000	1.249	570.3	3	0.6525	nan	3	0	nan	0	0.6111	6.0	v3
plain_llm/cot	llama3.2:latest	ok	0.663424	0.9500	0.9350	0.2102	0.5929	0.1369	nan	nan	nan	0.000	3.191	934.9	100	0.6689	0.6605	35	65	nan	0	0.4224	5.3	v3
plain_llm/tot	llama3.2:latest	ok	0.675631	0.9800	0.9825	0.1514	0.5928	0.1681	nan	nan	nan	0.000	4.024	2023.7	100	0.6726	0.6773	35	65	nan	0	0.5083	5.8	v3
plain_llm/got	llama3.2:latest	ok	0.675609	0.9700	0.9950	0.1597	0.5996	0.1398	nan	nan	nan	0.000	5.104	2586.1	100	0.6703	0.6785	35	65	nan	0	0.4944	9.9	v3
random_rag/base	llama3.2:latest	ok	0.658427	0.9400	0.9850	0.1432	0.5710	0.1589	nan	0.1671	0.7459	0.000	1.599	1313.5	100	0.6372	0.6698	35	65	nan	0	0.4308	5.7	v3
random_rag/cot	llama3.2:latest	ok	0.674272	1.0000	0.9575	0.2078	0.5495	0.1091	nan	0.2181	0.7786	0.000	2.987	1552.8	100	0.6746	0.6741	35	65	nan	0	0.3560	5.9	v3
random_rag/tot	llama3.2:latest	ok	0.663983	0.9775	0.9466	0.1645	0.5665	0.1618	nan	0.1512	0.8176	0.000	35.407	7141.1	89	0.6536	0.6707	35	54	nan	0	0.4222	5.4	v3
random_rag/got	llama3.2:latest	ok	0.664117	0.9495	0.9975	0.1846	0.5470	0.1094	nan	0.1762	0.7737	0.000	6.297	5481.0	99	0.6549	0.6691	35	64	nan	0	0.3714	9.7	v3
simple_rag/base	llama3.2:latest	ok	0.669993	0.9900	0.9725	0.1341	0.5858	0.1516	0.0000	0.1631	0.7994	0.013	1.447	1337.2	100	0.6510	0.6802	35	65	nan	0	0.4763	6.0	v3
simple_rag/cot	llama3.2:latest	ok	0.667667	0.9900	0.9750	0.1618	0.5609	0.1044	0.0000	0.2450	0.7893	0.015	2.733	1557.7	100	0.6537	0.6752	35	65	nan	0	0.3440	7.2	v3
